,topics,num_articles_1,num_articles_2,category,probability
0,teams game players play sports season league coached hockey club,0,0,sports,99.8402997587761
1,mask wear sales face months real drugs prices estate real estate,245,117,covid-19,71.30346628862982
2,cases health number tested province deaths ontario official virus confirm,1582,255,covid-19,82.49630687209374
3,north shores north shores photos news vancouver parking ridge local read,0,0,local,75.25381030572105
4,city businesses store staff council custom parking closed street local,0,0,local,72.31863450958211
5,island traveller bowen parking centre st visitor lake summer offers,0,428,local,53.44755213096033
6,government financial million businesses federal canadians tax programming billion company,157,0,local,28.208624899662894
7,police office investigate rcmp reporter charge court july man information,0,839,local,50.25851479602487
8,support programming organizations social society member event local groups donated,149,0,local,68.13812909428616
9,food restaurants garden local plant watering fresh cook custom dishes,0,0,lifestyle,67.24113381209703
10,school students children programming learn kids parents educator women child,0,0,local,59.72709238875
11,arts artists event gallery photos festival burnaby featuring annual award,0,0,local,50.688578384352034
12,building vancouver houses developments marketing project area spacing insurance company,0,353,local,46.89205679351638
13,hospital care told old friend's cancer before hope news daughter,446,155,local,41.87799278977387
14,car vehicle driving engineers floor model prices driver seat designated,0,0,business,87.11856400932696
15,don lot ve really rights good something very tried little,0,657,lifestyle,77.4533511245796
16,issued black parties law white changes member rights actions racism,551,119,local,84.41774579534429
17,music films performance theatre books funeral life loved story movie,0,65,arts & entertainment,99.66246387071823
18,canadians government country reporter state nation plans british province press,605,747,local,55.15328110732124
19,client's health care information offers clinic dr patients person website,0,0,covid-19,43.78246057423076
