,outlet,location,lat,long
0,The Record,Kitchener,-80.486177,43.448732
1,abbynews,Abbotsford,-122.272222,49.041194
2,cp24,Toronto,-79.390167,43.649639
3,ctvnews,Ottawa,-75.69747199999999,45.421861
4,langleyadvancetimes,Langley,-122.661056,49.105639000000004
5,mapleridgenews,Maple Ridge,-122.595583,49.220778
6,nationalpost,Toronto,-79.377972,43.671944
7,northdeltareporter,Delta,-122.798996,49.102505
8,nsnews,Vancouver,-123.10096000000001,49.318767
9,surreynowleader,Surrey,-122.799361,49.102052
10,theprogress,Chilliwack,-121.956167,49.164694
11,thestar,Toronto,-79.540139,43.779361
12,torontosun,Toronto,-79.377972,43.671944
13,cbc,Toronto,45.518055,-73.55093
14,tricitynews,Port Coquitlam,49.247012,-122.76022
15,vancouverobserver,Vancouver,-123.10096000000001,49.318767
16,vancourier,Vancouver,49.266922,-123.110863
17,richmond-news,Richmond,49.174152,-123.119285
18,burnabynow,Burnaby,49.252834,-122.917969
19,newwestrecord,Burnaby,49.252857,-122.916369
20,bowenislandundercurrent,Bowen Island,49.379632,-123.338253
